
Resultados nacionales
Estudiantes de nuevo ingreso en Grado por tipo y modalidad de la universidad, sexo, zona de nacionalidad y rama de enseñanza
Unidades: Número de estudiantes

	Total									Ciencias Sociales y Jurídicas									Ingeniería y Arquitectura									Artes y Humanidades									Ciencias de la Salud									Ciencias									
	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	
Total	
    Total	
            Unión Europea	5411.0	5132.0	5021.0	4757.0	4684.0	4646.0	4440.0	4206.0	3921.0	2113.0	2008.0	1899.0	1864.0	1848.0	1770.0	1738.0	1584.0	1492.0	413.0	369.0	312.0	279.0	310.0	254.0	267.0	252.0	198.0	550.0	502.0	532.0	558.0	543.0	557.0	526.0	515.0	474.0	2176.0	2095.0	2136.0	1885.0	1847.0	1912.0	1764.0	1742.0	1631.0	159.0	158.0	142.0	171.0	136.0	153.0	145.0	113.0	126.0	
            Resto de Europa	1196.0	1075.0	1014.0	867.0	824.0	827.0	874.0	833.0	799.0	599.0	551.0	493.0	445.0	412.0	429.0	450.0	423.0	401.0	122.0	111.0	102.0	88.0	81.0	86.0	93.0	71.0	61.0	162.0	163.0	147.0	122.0	115.0	120.0	142.0	148.0	140.0	278.0	214.0	235.0	185.0	180.0	155.0	149.0	151.0	160.0	35.0	36.0	37.0	27.0	36.0	37.0	40.0	40.0	37.0	
            EEUU y Canadá	294.0	249.0	195.0	167.0	165.0	161.0	144.0	101.0	102.0	173.0	160.0	120.0	92.0	103.0	88.0	58.0	48.0	46.0	34.0	22.0	16.0	9.0	10.0	12.0	6.0	4.0	8.0	26.0	25.0	21.0	27.0	15.0	26.0	42.0	28.0	28.0	53.0	36.0	32.0	34.0	35.0	34.0	34.0	17.0	17.0	8.0	6.0	6.0	5.0	2.0	1.0	4.0	4.0	3.0	
            América Latina y Caribe	4840.0	4037.0	3350.0	2926.0	3083.0	2682.0	2508.0	2203.0	2120.0	2469.0	2127.0	1787.0	1534.0	1706.0	1429.0	1328.0	1191.0	1200.0	716.0	564.0	448.0	426.0	436.0	386.0	390.0	275.0	245.0	655.0	521.0	416.0	362.0	321.0	308.0	277.0	279.0	215.0	825.0	655.0	577.0	502.0	528.0	458.0	407.0	373.0	379.0	175.0	170.0	122.0	102.0	92.0	101.0	106.0	85.0	81.0	
            Norte de África	1643.0	1424.0	1408.0	1483.0	1243.0	1000.0	865.0	864.0	734.0	569.0	550.0	518.0	540.0	503.0	410.0	359.0	376.0	293.0	634.0	422.0	476.0	427.0	277.0	216.0	152.0	177.0	130.0	117.0	110.0	122.0	146.0	116.0	112.0	110.0	107.0	114.0	285.0	298.0	251.0	326.0	304.0	218.0	188.0	168.0	164.0	38.0	44.0	41.0	44.0	43.0	44.0	56.0	36.0	33.0	
            Resto de África	373.0	344.0	271.0	248.0	253.0	218.0	236.0	197.0	186.0	214.0	219.0	162.0	150.0	173.0	123.0	125.0	104.0	126.0	75.0	56.0	53.0	38.0	28.0	39.0	50.0	40.0	19.0	28.0	20.0	23.0	13.0	14.0	17.0	22.0	20.0	14.0	44.0	41.0	29.0	36.0	36.0	34.0	31.0	27.0	24.0	12.0	8.0	4.0	11.0	2.0	5.0	8.0	6.0	3.0	
            Asia y Oceanía	1549.0	1360.0	1286.0	1423.0	1332.0	1231.0	1153.0	1037.0	1029.0	698.0	628.0	649.0	716.0	696.0	652.0	643.0	565.0	611.0	283.0	243.0	224.0	203.0	159.0	150.0	148.0	129.0	120.0	210.0	171.0	177.0	246.0	224.0	214.0	165.0	171.0	138.0	281.0	254.0	187.0	206.0	196.0	177.0	157.0	147.0	137.0	77.0	64.0	49.0	52.0	57.0	38.0	40.0	25.0	23.0	
    No Presencial	
        Ambos sexos	
            Total	66961.0	68807.0	63262.0	77628.0	67812.0	65233.0	65724.0	67174.0	69868.0	34306.0	35644.0	31163.0	38672.0	33086.0	32227.0	35559.0	33801.0	36080.0	6895.0	6363.0	5780.0	6159.0	5932.0	5642.0	5106.0	5613.0	5908.0	8801.0	9202.0	10017.0	13584.0	13013.0	11258.0	10213.0	11516.0	11586.0	13875.0	14301.0	12606.0	14950.0	11963.0	12299.0	11597.0	12763.0	12687.0	3084.0	3297.0	3696.0	4263.0	3818.0	3807.0	3249.0	3481.0	3607.0	
            España	62796.0	64057.0	58642.0	73178.0	63761.0	61628.0	62435.0	64230.0	66833.0	32317.0	33234.0	28715.0	36252.0	30901.0	30292.0	33750.0	32245.0	34437.0	6384.0	5842.0	5331.0	5758.0	5578.0	5280.0	4822.0	5364.0	5642.0	8433.0	8736.0	9467.0	13074.0	12480.0	10856.0	9857.0	11130.0	11152.0	12770.0	13136.0	11636.0	14023.0	11169.0	11553.0	10882.0	12138.0	12120.0	2892.0	3109.0	3493.0	4071.0	3633.0	3647.0	3124.0	3353.0	3482.0	
            Unión Europea	1391.0	1426.0	1316.0	1545.0	1400.0	1280.0	1191.0	1089.0	1159.0	658.0	618.0	610.0	726.0	676.0	627.0	620.0	511.0	583.0	155.0	160.0	109.0	130.0	111.0	117.0	96.0	88.0	89.0	136.0	159.0	194.0	239.0	238.0	179.0	172.0	195.0	208.0	385.0	431.0	331.0	378.0	316.0	298.0	262.0	241.0	220.0	57.0	58.0	72.0	72.0	59.0	59.0	41.0	54.0	59.0	
            Resto de Europa	292.0	322.0	365.0	314.0	301.0	280.0	287.0	245.0	245.0	142.0	160.0	164.0	175.0	168.0	160.0	167.0	129.0	146.0	44.0	27.0	48.0	31.0	37.0	19.0	22.0	17.0	9.0	31.0	46.0	55.0	34.0	30.0	31.0	29.0	40.0	41.0	60.0	74.0	80.0	63.0	59.0	52.0	62.0	51.0	44.0	15.0	15.0	18.0	11.0	7.0	18.0	7.0	8.0	5.0	
            EEUU y Canadá	47.0	36.0	54.0	36.0	35.0	38.0	31.0	22.0	24.0	21.0	16.0	24.0	14.0	10.0	17.0	12.0	11.0	11.0	4.0	2.0	5.0	2.0	0.0	2.0	0.0	0.0	0.0	8.0	10.0	10.0	7.0	9.0	12.0	14.0	5.0	8.0	12.0	6.0	15.0	11.0	10.0	6.0	4.0	4.0	0.0	2.0	2.0	0.0	2.0	6.0	1.0	1.0	2.0	5.0	
            América Latina y Caribe	2037.0	2510.0	2370.0	2050.0	1843.0	1607.0	1428.0	1223.0	1277.0	945.0	1343.0	1329.0	1203.0	1045.0	886.0	784.0	666.0	697.0	229.0	256.0	216.0	172.0	142.0	167.0	127.0	104.0	115.0	167.0	229.0	252.0	186.0	219.0	152.0	117.0	114.0	150.0	597.0	600.0	487.0	408.0	364.0	342.0	341.0	291.0	268.0	99.0	82.0	86.0	81.0	73.0	60.0	59.0	48.0	47.0	
            Norte de África	166.0	209.0	239.0	260.0	227.0	198.0	160.0	184.0	174.0	88.0	130.0	152.0	143.0	129.0	99.0	90.0	110.0	100.0	33.0	31.0	27.0	34.0	27.0	40.0	25.0	25.0	33.0	11.0	10.0	16.0	22.0	24.0	13.0	10.0	15.0	14.0	27.0	24.0	32.0	42.0	23.0	29.0	25.0	23.0	22.0	7.0	14.0	12.0	19.0	24.0	17.0	10.0	11.0	5.0	
            Resto de África	132.0	134.0	147.0	132.0	148.0	119.0	113.0	122.0	107.0	93.0	93.0	104.0	102.0	106.0	97.0	87.0	96.0	76.0	15.0	17.0	17.0	11.0	19.0	6.0	5.0	10.0	13.0	6.0	5.0	7.0	9.0	4.0	6.0	6.0	9.0	8.0	12.0	13.0	15.0	8.0	12.0	8.0	12.0	6.0	8.0	6.0	6.0	4.0	2.0	7.0	2.0	3.0	1.0	2.0	
            Asia y Oceanía	100.0	113.0	129.0	113.0	97.0	83.0	79.0	59.0	49.0	42.0	50.0	65.0	57.0	51.0	49.0	49.0	33.0	30.0	31.0	28.0	27.0	21.0	18.0	11.0	9.0	5.0	7.0	9.0	7.0	16.0	13.0	9.0	9.0	8.0	8.0	5.0	12.0	17.0	10.0	17.0	10.0	11.0	9.0	9.0	5.0	6.0	11.0	11.0	5.0	9.0	3.0	4.0	4.0	2.0	
        Hombres	
            Total	27137.0	26955.0	27305.0	33539.0	31740.0	30039.0	29529.0	30723.0	32466.0	12058.0	12148.0	12330.0	15713.0	14420.0	13738.0	14950.0	14488.0	15881.0	5546.0	5055.0	4730.0	5054.0	5058.0	4821.0	4378.0	4909.0	5152.0	4092.0	4143.0	4681.0	6318.0	6518.0	5422.0	4760.0	5346.0	5396.0	3489.0	3553.0	3293.0	3767.0	3243.0	3610.0	3350.0	3769.0	3708.0	1952.0	2056.0	2271.0	2687.0	2501.0	2448.0	2091.0	2211.0	2329.0	
            España	25742.0	25439.0	25548.0	32025.0	30209.0	28721.0	28404.0	29694.0	31407.0	11466.0	11442.0	11428.0	14945.0	13641.0	13107.0	14377.0	13997.0	15339.0	5176.0	4698.0	4403.0	4764.0	4793.0	4545.0	4163.0	4706.0	4947.0	3988.0	3993.0	4474.0	6149.0	6308.0	5257.0	4630.0	5220.0	5255.0	3275.0	3362.0	3081.0	3592.0	3075.0	3448.0	3210.0	3633.0	3599.0	1837.0	1944.0	2162.0	2575.0	2392.0	2364.0	2024.0	2138.0	2267.0	
            Unión Europea	426.0	401.0	421.0	473.0	473.0	454.0	375.0	357.0	385.0	169.0	152.0	178.0	199.0	215.0	184.0	177.0	132.0	187.0	120.0	107.0	83.0	97.0	81.0	93.0	72.0	75.0	65.0	34.0	49.0	55.0	68.0	75.0	65.0	54.0	54.0	64.0	76.0	66.0	65.0	73.0	62.0	77.0	47.0	66.0	41.0	27.0	27.0	40.0	36.0	40.0	35.0	25.0	30.0	28.0	
            Resto de Europa	101.0	88.0	131.0	81.0	95.0	78.0	84.0	71.0	67.0	43.0	40.0	54.0	42.0	42.0	40.0	48.0	38.0	41.0	33.0	20.0	38.0	18.0	28.0	11.0	15.0	12.0	7.0	6.0	9.0	21.0	9.0	10.0	8.0	7.0	10.0	8.0	10.0	9.0	8.0	8.0	11.0	12.0	10.0	5.0	7.0	9.0	10.0	10.0	4.0	4.0	7.0	4.0	6.0	4.0	
            EEUU y Canadá	17.0	14.0	27.0	16.0	18.0	14.0	12.0	6.0	9.0	4.0	4.0	9.0	5.0	5.0	6.0	4.0	3.0	4.0	3.0	2.0	4.0	2.0	0.0	1.0	0.0	0.0	0.0	6.0	5.0	6.0	3.0	4.0	2.0	6.0	1.0	3.0	2.0	2.0	8.0	4.0	5.0	5.0	2.0	1.0	0.0	2.0	1.0	0.0	2.0	4.0	0.0	0.0	1.0	2.0	
            América Latina y Caribe	687.0	791.0	963.0	711.0	700.0	574.0	470.0	420.0	420.0	292.0	389.0	534.0	394.0	370.0	284.0	227.0	205.0	196.0	160.0	174.0	153.0	121.0	109.0	125.0	96.0	84.0	94.0	52.0	72.0	108.0	69.0	103.0	78.0	51.0	48.0	55.0	117.0	100.0	118.0	75.0	76.0	57.0	65.0	56.0	52.0	66.0	56.0	50.0	52.0	42.0	30.0	31.0	27.0	23.0	
            Norte de África	60.0	82.0	92.0	120.0	105.0	88.0	78.0	77.0	81.0	28.0	44.0	60.0	57.0	54.0	34.0	40.0	40.0	43.0	23.0	20.0	18.0	30.0	20.0	33.0	22.0	21.0	23.0	2.0	6.0	4.0	11.0	12.0	4.0	6.0	6.0	6.0	3.0	4.0	8.0	9.0	7.0	8.0	7.0	5.0	5.0	4.0	8.0	2.0	13.0	12.0	9.0	3.0	5.0	4.0	
            Resto de África	65.0	83.0	76.0	77.0	95.0	77.0	80.0	79.0	74.0	45.0	55.0	49.0	56.0	71.0	65.0	62.0	63.0	53.0	12.0	13.0	15.0	8.0	15.0	5.0	5.0	8.0	12.0	1.0	3.0	7.0	7.0	3.0	4.0	4.0	5.0	5.0	3.0	7.0	2.0	4.0	3.0	2.0	7.0	2.0	3.0	4.0	5.0	3.0	2.0	3.0	1.0	2.0	1.0	1.0	
            Asia y Oceanía	39.0	57.0	47.0	36.0	45.0	33.0	26.0	19.0	23.0	11.0	22.0	18.0	15.0	22.0	18.0	15.0	10.0	18.0	19.0	21.0	16.0	14.0	12.0	8.0	5.0	3.0	4.0	3.0	6.0	6.0	2.0	3.0	4.0	2.0	2.0	0.0	3.0	3.0	3.0	2.0	4.0	1.0	2.0	1.0	1.0	3.0	5.0	4.0	3.0	4.0	2.0	2.0	3.0	0.0	
        Mujeres	
            Total	39824.0	41852.0	35957.0	44089.0	36072.0	35194.0	36195.0	36451.0	37402.0	22248.0	23496.0	18833.0	22959.0	18666.0	18489.0	20609.0	19313.0	20199.0	1349.0	1308.0	1050.0	1105.0	874.0	821.0	728.0	704.0	756.0	4709.0	5059.0	5336.0	7266.0	6495.0	5836.0	5453.0	6170.0	6190.0	10386.0	10748.0	9313.0	11183.0	8720.0	8689.0	8247.0	8994.0	8979.0	1132.0	1241.0	1425.0	1576.0	1317.0	1359.0	1158.0	1270.0	1278.0	
            España	37054.0	38618.0	33094.0	41153.0	33552.0	32907.0	34031.0	34536.0	35426.0	20851.0	21792.0	17287.0	21307.0	17260.0	17185.0	19373.0	18248.0	19098.0	1208.0	1144.0	928.0	994.0	785.0	735.0	659.0	658.0	695.0	4445.0	4743.0	4993.0	6925.0	6172.0	5599.0	5227.0	5910.0	5897.0	9495.0	9774.0	8555.0	10431.0	8094.0	8105.0	7672.0	8505.0	8521.0	1055.0	1165.0	1331.0	1496.0	1241.0	1283.0	1100.0	1215.0	1215.0	
            Unión Europea	965.0	1025.0	895.0	1072.0	927.0	826.0	816.0	732.0	774.0	489.0	466.0	432.0	527.0	461.0	443.0	443.0	379.0	396.0	35.0	53.0	26.0	33.0	30.0	24.0	24.0	13.0	24.0	102.0	110.0	139.0	171.0	163.0	114.0	118.0	141.0	144.0	309.0	365.0	266.0	305.0	254.0	221.0	215.0	175.0	179.0	30.0	31.0	32.0	36.0	19.0	24.0	16.0	24.0	31.0	
            Resto de Europa	191.0	234.0	234.0	233.0	206.0	202.0	203.0	174.0	178.0	99.0	120.0	110.0	133.0	126.0	120.0	119.0	91.0	105.0	11.0	7.0	10.0	13.0	9.0	8.0	7.0	5.0	2.0	25.0	37.0	34.0	25.0	20.0	23.0	22.0	30.0	33.0	50.0	65.0	72.0	55.0	48.0	40.0	52.0	46.0	37.0	6.0	5.0	8.0	7.0	3.0	11.0	3.0	2.0	1.0	
            EEUU y Canadá	30.0	22.0	27.0	20.0	17.0	24.0	19.0	16.0	15.0	17.0	12.0	15.0	9.0	5.0	11.0	8.0	8.0	7.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	5.0	4.0	4.0	5.0	10.0	8.0	4.0	5.0	10.0	4.0	7.0	7.0	5.0	1.0	2.0	3.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	1.0	1.0	3.0	
            América Latina y Caribe	1350.0	1719.0	1407.0	1339.0	1143.0	1033.0	958.0	803.0	857.0	653.0	954.0	795.0	809.0	675.0	602.0	557.0	461.0	501.0	69.0	82.0	63.0	51.0	33.0	42.0	31.0	20.0	21.0	115.0	157.0	144.0	117.0	116.0	74.0	66.0	66.0	95.0	480.0	500.0	369.0	333.0	288.0	285.0	276.0	235.0	216.0	33.0	26.0	36.0	29.0	31.0	30.0	28.0	21.0	24.0	
            Norte de África	106.0	127.0	147.0	140.0	122.0	110.0	82.0	107.0	93.0	60.0	86.0	92.0	86.0	75.0	65.0	50.0	70.0	57.0	10.0	11.0	9.0	4.0	7.0	7.0	3.0	4.0	10.0	9.0	4.0	12.0	11.0	12.0	9.0	4.0	9.0	8.0	24.0	20.0	24.0	33.0	16.0	21.0	18.0	18.0	17.0	3.0	6.0	10.0	6.0	12.0	8.0	7.0	6.0	1.0	
            Resto de África	67.0	51.0	71.0	55.0	53.0	42.0	33.0	43.0	33.0	48.0	38.0	55.0	46.0	35.0	32.0	25.0	33.0	23.0	3.0	4.0	2.0	3.0	4.0	1.0	0.0	2.0	1.0	5.0	2.0	0.0	2.0	1.0	2.0	2.0	4.0	3.0	9.0	6.0	13.0	4.0	9.0	6.0	5.0	4.0	5.0	2.0	1.0	1.0	0.0	4.0	1.0	1.0	0.0	1.0	
            Asia y Oceanía	61.0	56.0	82.0	77.0	52.0	50.0	53.0	40.0	26.0	31.0	28.0	47.0	42.0	29.0	31.0	34.0	23.0	12.0	12.0	7.0	11.0	7.0	6.0	3.0	4.0	2.0	3.0	6.0	1.0	10.0	11.0	6.0	5.0	6.0	6.0	5.0	9.0	14.0	7.0	15.0	6.0	10.0	7.0	8.0	4.0	3.0	6.0	7.0	2.0	5.0	1.0	2.0	1.0	2.0	
Pública	
    Total	
        Ambos sexos	
            Total	274405.0	273150.0	270334.0	287142.0	278279.0	277232.0	278260.0	284540.0	291102.0	120076.0	121116.0	119586.0	129202.0	125848.0	126437.0	130109.0	130694.0	133318.0	56483.0	53521.0	51843.0	51713.0	51064.0	51379.0	50824.0	52716.0	55017.0	29557.0	30261.0	31987.0	36563.0	35392.0	33605.0	32763.0	34834.0	34853.0	47808.0	47608.0	46375.0	47896.0	44850.0	44702.0	43871.0	45089.0	46441.0	20481.0	20644.0	20543.0	21768.0	21125.0	21109.0	20693.0	21207.0	21473.0	
            España	255579.0	255825.0	253855.0	270347.0	261735.0	261878.0	263663.0	270599.0	277498.0	111699.0	113658.0	112315.0	121787.0	118282.0	119353.0	123244.0	124230.0	126837.0	51768.0	49260.0	47964.0	47863.0	47452.0	48190.0	47888.0	49917.0	52411.0	27499.0	28304.0	30021.0	34392.0	33301.0	31591.0	30863.0	32880.0	32982.0	45045.0	44805.0	43803.0	45317.0	42335.0	42385.0	41656.0	43004.0	44426.0	19568.0	19798.0	19752.0	20988.0	20365.0	20359.0	20012.0	20568.0	20842.0	
            Unión Europea	5913.0	5475.0	5296.0	5625.0	5648.0	5525.0	5336.0	5177.0	4903.0	2725.0	2263.0	2310.0	2394.0	2421.0	2396.0	2338.0	2242.0	2142.0	974.0	960.0	832.0	897.0	967.0	858.0	823.0	816.0	753.0	693.0	699.0	733.0	872.0	867.0	847.0	803.0	816.0	782.0	1203.0	1252.0	1146.0	1151.0	1116.0	1129.0	1112.0	1048.0	957.0	318.0	301.0	275.0	311.0	277.0	295.0	260.0	255.0	269.0	
            Resto de Europa	1462.0	1437.0	1346.0	1212.0	1158.0	1216.0	1274.0	1284.0	1228.0	696.0	654.0	575.0	584.0	543.0	574.0	621.0	608.0	584.0	306.0	298.0	281.0	235.0	233.0	246.0	258.0	251.0	205.0	201.0	219.0	213.0	164.0	158.0	166.0	184.0	203.0	213.0	186.0	198.0	202.0	171.0	160.0	153.0	150.0	161.0	165.0	73.0	68.0	75.0	58.0	64.0	77.0	61.0	61.0	61.0	
            EEUU y Canadá	118.0	96.0	91.0	86.0	89.0	90.0	102.0	75.0	103.0	58.0	39.0	41.0	28.0	39.0	32.0	30.0	23.0	34.0	18.0	16.0	16.0	9.0	10.0	10.0	7.0	4.0	13.0	23.0	26.0	22.0	32.0	23.0	31.0	54.0	32.0	39.0	13.0	10.0	10.0	12.0	11.0	13.0	5.0	11.0	8.0	6.0	5.0	2.0	5.0	6.0	4.0	6.0	5.0	9.0	
            América Latina y Caribe	5621.0	5175.0	4613.0	4374.0	4703.0	4294.0	3956.0	3689.0	3868.0	2554.0	2393.0	2189.0	2040.0	2251.0	2074.0	1900.0	1777.0	1951.0	1264.0	1170.0	922.0	913.0	1029.0	920.0	849.0	766.0	748.0	688.0	599.0	541.0	528.0	515.0	486.0	418.0	428.0	427.0	824.0	765.0	718.0	684.0	701.0	607.0	592.0	538.0	568.0	291.0	248.0	243.0	209.0	207.0	207.0	197.0	180.0	174.0	
            Norte de África	2754.0	2353.0	2542.0	2732.0	2213.0	1658.0	1488.0	1508.0	1340.0	1006.0	861.0	910.0	1000.0	863.0	668.0	624.0	631.0	511.0	1253.0	963.0	1084.0	1093.0	737.0	529.0	437.0	465.0	426.0	185.0	164.0	181.0	217.0	181.0	152.0	145.0	159.0	148.0	240.0	285.0	290.0	339.0	333.0	229.0	206.0	188.0	200.0	70.0	80.0	77.0	83.0	99.0	80.0	76.0	65.0	55.0	
            Resto de África	619.0	618.0	533.0	466.0	498.0	464.0	459.0	413.0	384.0	356.0	368.0	305.0	287.0	310.0	272.0	249.0	237.0	243.0	180.0	161.0	148.0	108.0	111.0	117.0	131.0	94.0	81.0	25.0	30.0	36.0	25.0	23.0	37.0	37.0	36.0	25.0	37.0	39.0	33.0	30.0	42.0	30.0	31.0	33.0	24.0	21.0	20.0	11.0	16.0	12.0	8.0	11.0	13.0	11.0	
            Asia y Oceanía	2339.0	2171.0	2058.0	2300.0	2235.0	2107.0	1982.0	1795.0	1778.0	982.0	880.0	941.0	1082.0	1139.0	1068.0	1103.0	946.0	1016.0	720.0	693.0	596.0	595.0	525.0	509.0	431.0	403.0	380.0	243.0	220.0	240.0	333.0	324.0	295.0	259.0	280.0	237.0	260.0	254.0	173.0	192.0	152.0	156.0	119.0	106.0	93.0	134.0	124.0	108.0	98.0	95.0	79.0	70.0	60.0	52.0	
        Hombres	
            Total	118950.0	117785.0	117710.0	125637.0	125668.0	125792.0	126645.0	131043.0	134871.0	45940.0	46020.0	46554.0	50281.0	50444.0	50829.0	52957.0	53555.0	54974.0	40001.0	38600.0	37460.0	38114.0	38304.0	39293.0	38984.0	40540.0	42399.0	10652.0	10933.0	11788.0	14108.0	14225.0	13045.0	12649.0	13728.0	13776.0	12274.0	12121.0	11787.0	12091.0	11914.0	11991.0	11753.0	12406.0	12817.0	10083.0	10111.0	10121.0	11043.0	10781.0	10634.0	10302.0	10814.0	10905.0	
            España	111056.0	110655.0	110858.0	118885.0	118731.0	119538.0	120865.0	125411.0	129435.0	42653.0	43361.0	43798.0	47689.0	47627.0	48287.0	50543.0	51277.0	52772.0	37123.0	35820.0	34969.0	35614.0	35849.0	37113.0	36996.0	38603.0	40545.0	10062.0	10348.0	11210.0	13464.0	13560.0	12427.0	12087.0	13173.0	13229.0	11551.0	11382.0	11115.0	11427.0	11261.0	11406.0	11197.0	11837.0	12273.0	9667.0	9744.0	9766.0	10691.0	10434.0	10305.0	10042.0	10521.0	10616.0	
            Unión Europea	2376.0	2049.0	1964.0	2057.0	2158.0	2069.0	1937.0	1997.0	1779.0	1055.0	706.0	779.0	733.0	794.0	776.0	723.0	735.0	636.0	655.0	660.0	569.0	633.0	675.0	625.0	582.0	585.0	547.0	174.0	195.0	165.0	226.0	248.0	233.0	209.0	211.0	198.0	353.0	362.0	335.0	340.0	312.0	312.0	317.0	341.0	278.0	139.0	126.0	116.0	125.0	129.0	123.0	106.0	125.0	120.0	
            Resto de Europa	625.0	590.0	531.0	432.0	449.0	442.0	473.0	492.0	448.0	273.0	227.0	203.0	181.0	179.0	158.0	204.0	212.0	193.0	212.0	207.0	197.0	157.0	169.0	177.0	177.0	187.0	146.0	57.0	61.0	65.0	41.0	37.0	40.0	40.0	39.0	48.0	43.0	61.0	32.0	27.0	35.0	36.0	30.0	32.0	33.0	40.0	34.0	34.0	26.0	29.0	31.0	22.0	22.0	28.0	
            EEUU y Canadá	58.0	38.0	45.0	36.0	41.0	37.0	41.0	25.0	33.0	31.0	15.0	16.0	14.0	16.0	15.0	14.0	9.0	12.0	10.0	11.0	12.0	6.0	7.0	5.0	4.0	2.0	8.0	12.0	9.0	12.0	10.0	9.0	6.0	18.0	7.0	9.0	3.0	2.0	3.0	4.0	5.0	9.0	2.0	4.0	1.0	2.0	1.0	2.0	2.0	4.0	2.0	3.0	3.0	3.0	
            América Latina y Caribe	2178.0	2044.0	1923.0	1634.0	1925.0	1742.0	1507.0	1437.0	1515.0	892.0	835.0	853.0	644.0	799.0	741.0	619.0	575.0	614.0	768.0	765.0	599.0	557.0	680.0	603.0	549.0	533.0	531.0	207.0	181.0	182.0	172.0	195.0	190.0	147.0	131.0	152.0	177.0	157.0	175.0	155.0	152.0	113.0	114.0	120.0	138.0	134.0	106.0	114.0	106.0	99.0	95.0	78.0	78.0	80.0	
            Norte de África	1263.0	1058.0	1175.0	1302.0	1034.0	690.0	635.0	627.0	588.0	469.0	353.0	396.0	446.0	366.0	252.0	244.0	225.0	187.0	640.0	556.0	617.0	677.0	472.0	316.0	291.0	292.0	295.0	66.0	56.0	54.0	68.0	58.0	34.0	33.0	45.0	26.0	56.0	61.0	79.0	74.0	94.0	58.0	52.0	42.0	58.0	32.0	32.0	29.0	37.0	44.0	30.0	15.0	23.0	22.0	
            Resto de África	292.0	311.0	252.0	222.0	255.0	255.0	244.0	201.0	201.0	149.0	161.0	121.0	124.0	142.0	140.0	120.0	120.0	114.0	115.0	113.0	103.0	69.0	88.0	85.0	91.0	54.0	61.0	6.0	9.0	17.0	15.0	12.0	20.0	14.0	12.0	10.0	12.0	17.0	5.0	6.0	7.0	5.0	13.0	8.0	7.0	10.0	11.0	6.0	8.0	6.0	5.0	6.0	7.0	9.0	
            Asia y Oceanía	1102.0	1040.0	962.0	1069.0	1075.0	1019.0	943.0	853.0	872.0	418.0	362.0	388.0	450.0	521.0	460.0	490.0	402.0	446.0	478.0	468.0	394.0	401.0	364.0	369.0	294.0	284.0	266.0	68.0	74.0	83.0	112.0	106.0	95.0	101.0	110.0	104.0	79.0	79.0	43.0	58.0	48.0	52.0	28.0	22.0	29.0	59.0	57.0	54.0	48.0	36.0	43.0	30.0	35.0	27.0	
        Mujeres	
            Total	155455.0	155365.0	152624.0	161505.0	152611.0	151440.0	151615.0	153497.0	156231.0	74136.0	75096.0	73032.0	78921.0	75404.0	75608.0	77152.0	77139.0	78344.0	16482.0	14921.0	14383.0	13599.0	12760.0	12086.0	11840.0	12176.0	12618.0	18905.0	19328.0	20199.0	22455.0	21167.0	20560.0	20114.0	21106.0	21077.0	35534.0	35487.0	34588.0	35805.0	32936.0	32711.0	32118.0	32683.0	33624.0	10398.0	10533.0	10422.0	10725.0	10344.0	10475.0	10391.0	10393.0	10568.0	
            España	144523.0	145170.0	142997.0	151462.0	143004.0	142340.0	142798.0	145188.0	148063.0	69046.0	70297.0	68517.0	74098.0	70655.0	71066.0	72701.0	72953.0	74065.0	14645.0	13440.0	12995.0	12249.0	11603.0	11077.0	10892.0	11314.0	11866.0	17437.0	17956.0	18811.0	20928.0	19741.0	19164.0	18776.0	19707.0	19753.0	33494.0	33423.0	32688.0	33890.0	31074.0	30979.0	30459.0	31167.0	32153.0	9901.0	10054.0	9986.0	10297.0	9931.0	10054.0	9970.0	10047.0	10226.0	
            Unión Europea	3537.0	3426.0	3332.0	3568.0	3490.0	3456.0	3399.0	3180.0	3124.0	1670.0	1557.0	1531.0	1661.0	1627.0	1620.0	1615.0	1507.0	1506.0	319.0	300.0	263.0	264.0	292.0	233.0	241.0	231.0	206.0	519.0	504.0	568.0	646.0	619.0	614.0	594.0	605.0	584.0	850.0	890.0	811.0	811.0	804.0	817.0	795.0	707.0	679.0	179.0	175.0	159.0	186.0	148.0	172.0	154.0	130.0	149.0	
