
Resultados nacionales
Estudiantes de nuevo ingreso en Grado por tipo y modalidad de la universidad, sexo, zona de nacionalidad y rama de enseñanza
Unidades: Número de estudiantes

	Total									Ciencias Sociales y Jurídicas									Ingeniería y Arquitectura									Artes y Humanidades									Ciencias de la Salud									Ciencias									
	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	
Total	
    Total	
            España	142117.0	140648.0	138218.0	144874.0	141984.0	142299.0	142369.0	147185.0	150751.0	58402.0	59257.0	58198.0	61512.0	59493.0	59861.0	61787.0	63061.0	64419.0	44222.0	42215.0	40809.0	40850.0	41212.0	42016.0	41295.0	42639.0	44498.0	11992.0	12083.0	12957.0	15175.0	15135.0	14130.0	13562.0	14554.0	14290.0	17292.0	16881.0	16013.0	16295.0	15406.0	15743.0	15432.0	16099.0	16629.0	10209.0	10212.0	10241.0	11042.0	10738.0	10549.0	10293.0	10832.0	10915.0	
            Unión Europea	4372.0	3998.0	3859.0	3746.0	3936.0	3770.0	3527.0	3589.0	3115.0	1796.0	1411.0	1445.0	1310.0	1434.0	1306.0	1240.0	1188.0	982.0	832.0	833.0	683.0	721.0	764.0	707.0	647.0	638.0	592.0	223.0	247.0	217.0	256.0	282.0	266.0	240.0	232.0	217.0	1370.0	1371.0	1391.0	1331.0	1320.0	1365.0	1288.0	1400.0	1199.0	151.0	136.0	123.0	128.0	136.0	126.0	112.0	131.0	125.0	
            Resto de Europa	1028.0	943.0	821.0	619.0	644.0	593.0	630.0	621.0	591.0	504.0	448.0	365.0	297.0	297.0	253.0	291.0	297.0	292.0	272.0	257.0	250.0	185.0	212.0	202.0	206.0	198.0	163.0	69.0	70.0	82.0	53.0	40.0	47.0	48.0	48.0	53.0	137.0	133.0	88.0	58.0	65.0	59.0	61.0	56.0	53.0	46.0	35.0	36.0	26.0	30.0	32.0	24.0	22.0	30.0	
            EEUU y Canadá	210.0	187.0	156.0	145.0	148.0	126.0	106.0	64.0	76.0	132.0	120.0	80.0	88.0	94.0	76.0	54.0	33.0	41.0	30.0	26.0	27.0	16.0	13.0	13.0	6.0	4.0	9.0	18.0	22.0	21.0	16.0	12.0	12.0	24.0	12.0	13.0	25.0	17.0	22.0	23.0	21.0	23.0	18.0	12.0	9.0	5.0	2.0	6.0	2.0	8.0	2.0	4.0	3.0	4.0	
            América Latina y Caribe	3935.0	3614.0	3351.0	2678.0	2957.0	2609.0	2220.0	1937.0	1982.0	1933.0	1765.0	1740.0	1294.0	1433.0	1256.0	1002.0	863.0	845.0	1171.0	1090.0	870.0	760.0	892.0	797.0	728.0	647.0	637.0	331.0	316.0	308.0	278.0	281.0	254.0	221.0	166.0	213.0	334.0	311.0	298.0	237.0	238.0	196.0	183.0	176.0	199.0	166.0	132.0	135.0	109.0	113.0	106.0	86.0	85.0	88.0	
            Norte de África	1453.0	1238.0	1341.0	1439.0	1144.0	804.0	733.0	711.0	663.0	557.0	441.0	485.0	505.0	413.0	307.0	292.0	269.0	222.0	683.0	593.0	645.0	698.0	501.0	340.0	306.0	304.0	313.0	67.0	63.0	56.0	72.0	59.0	35.0	34.0	45.0	27.0	113.0	107.0	123.0	127.0	125.0	91.0	85.0	69.0	79.0	33.0	34.0	32.0	37.0	46.0	31.0	16.0	24.0	22.0	
            Resto de África	385.0	382.0	317.0	276.0	299.0	290.0	289.0	233.0	226.0	194.0	203.0	153.0	145.0	167.0	159.0	137.0	132.0	124.0	135.0	127.0	118.0	82.0	101.0	92.0	102.0	63.0	65.0	22.0	19.0	26.0	28.0	12.0	25.0	25.0	18.0	17.0	23.0	21.0	14.0	13.0	13.0	9.0	18.0	13.0	11.0	11.0	12.0	6.0	8.0	6.0	5.0	7.0	7.0	9.0	
            Asia y Oceanía	1441.0	1404.0	1233.0	1346.0	1349.0	1216.0	1115.0	986.0	999.0	596.0	545.0	534.0	595.0	659.0	548.0	567.0	459.0	489.0	541.0	525.0	437.0	436.0	382.0	389.0	313.0	294.0	281.0	104.0	100.0	101.0	138.0	124.0	101.0	122.0	116.0	122.0	136.0	174.0	104.0	128.0	147.0	135.0	83.0	82.0	79.0	64.0	60.0	57.0	49.0	37.0	43.0	30.0	35.0	28.0	
        Mujeres	
            Total	208553.0	207614.0	195812.0	203988.0	189534.0	185348.0	186116.0	185662.0	187432.0	102384.0	104803.0	96987.0	103287.0	96229.0	93998.0	97306.0	95822.0	96962.0	19550.0	17651.0	16617.0	15491.0	14431.0	13594.0	13271.0	13348.0	13742.0	22952.0	22955.0	23504.0	25429.0	23668.0	23122.0	22386.0	23001.0	22541.0	52615.0	51034.0	47740.0	48563.0	44408.0	43774.0	42360.0	42661.0	43203.0	11052.0	11171.0	10964.0	11218.0	10798.0	10860.0	10793.0	10830.0	10984.0	
            España	190477.0	190759.0	180404.0	189181.0	175430.0	172296.0	173732.0	174306.0	176565.0	94152.0	96856.0	89813.0	96294.0	89382.0	87793.0	91369.0	90466.0	91692.0	17132.0	15700.0	14864.0	13910.0	13041.0	12365.0	12096.0	12354.0	12900.0	20940.0	21127.0	21723.0	23614.0	21997.0	21531.0	20876.0	21473.0	21125.0	47782.0	46467.0	43535.0	44637.0	40656.0	40202.0	39055.0	39547.0	40233.0	10471.0	10609.0	10469.0	10726.0	10354.0	10405.0	10336.0	10466.0	10615.0	
            Unión Europea	6376.0	6157.0	5916.0	5829.0	5611.0	5472.0	5256.0	4938.0	4695.0	2602.0	2474.0	2331.0	2391.0	2309.0	2213.0	2181.0	1963.0	1888.0	448.0	422.0	338.0	312.0	340.0	278.0	291.0	265.0	222.0	652.0	612.0	671.0	729.0	706.0	671.0	644.0	656.0	618.0	2485.0	2460.0	2402.0	2190.0	2101.0	2133.0	1979.0	1917.0	1810.0	189.0	189.0	174.0	207.0	155.0	177.0	161.0	137.0	157.0	
